Strain,tokens
Afghanimal,"['afghanimal', 'indica', 'hungry', 'relaxed', 'aroused', 'sleepy', 'focused', 'citrus', 'skunk', 'afghanimal', 'house', 'genetics', 'heavy', 'indica', 'leaning', 'cross', 'afghani', 'animal', 'cookies', 'squat', 'plant', 'tight', 'rock', 'hard', 'nuggets', 'reek', 'sweet', 'acrid', 'earth', 'intermixed', 'fruit', 'floral', 'notes', 'lends', 'consumers', 'heavy', 'physical', 'suited', 'pain', 'relief', 'relaxation', 'mood', 'enhancement', 'afghanimal', 'smaller', 'stature', 'snappy', '7', '8', 'flowering', 'time', 'perfect', 'fit', 'indica', 'loving', 'indoor', 'growers', 'seeking', 'classic', 'modern', 'indica', 'dominant', 'genetics']"
Afghooey,"['afghooey', 'indica', 'uplifted', 'euphoric', 'relaxed', 'talkative', 'creative', 'earthy', 'sweet', 'woody', 'known', 'afgoo', 'afghooey', 'light', 'fluffy', 'heavily', 'laden', 'crystal', 'coating', 'trichomes', 'working', 'marijuana', 'hand', 'sticky', 'situation', 'smoking', 'afghooey', 'provides', 'best', 'worlds', 'indica', 'sativa', 'high']"
Afgoo,"['afgoo', 'indica', 'relaxed', 'sleepy', 'happy', 'euphoric', 'hungry', 'sweet', 'pine', 'woody', 'afgoo', 'known', 'afgooey', 'potent', 'indica', 'believed', 'descend', 'afghani', 'indica', 'maui', 'haze', 'sativa', 'parent', 'lend', 'afgoo', 'uplifting', 'creative', 'qualities', 'undoubtedly', 'takes', 'indica', 'parent', 'primarily', 'delivers', 'relaxing', 'sleepy', 'alongside', 'earthy', 'pine', 'growers', 'hoping', 'cultivate', 'afgoo', 'better', 'chance', 'success', 'indoors', 'indica', 'thrive', 'mediterranean', 'climates', 'outdoors']"
Afgooey,"['afgooey', 'indica', 'relaxed', 'happy', 'sleepy', 'giggly', 'uplifted', 'woody', 'pine', 'pungent', 'afgooey', 'known', 'afgoo', 'potent', 'indica', 'believed', 'descend', 'afghani', 'indica', 'maui', 'haze', 'sativa', 'parent', 'lend', 'afgoo', 'uplifting', 'creative', 'qualities', 'undoubtedly', 'takes', 'indica', 'parent', 'primarily', 'delivers', 'relaxing', 'sleepy', 'alongside', 'earthy', 'pine', 'growers', 'hoping', 'cultivate', 'afgoo', 'better', 'chance', 'success', 'indoors', 'indica', 'thrive', 'mediterranean', 'climates', 'outdoors']"
Afkansastan,"['afkansastan', 'indica', 'uplifted', 'euphoric', 'giggly', 'happy', 'relaxed', 'tobacco', 'earthy', 'afkansastan', 'relaxing', 'afghan', 'landrace', 'punch', 'grows', 'stout', 'plants', 'dense', 'dark', 'green', 'exhibit', 'hints', 'purple', 'brick', 'red', 'pistils', 'earthy', 'sweet', 'shows', 'berry', 'stone', 'fruit', 'grinding', 'exhale', 'indica', 'dominant', 'traditional', 'sedative', 'curb', 'physical', 'discomfort', 'insomnia', 'ignite', 'appetite', 'utilize', 'later', 'day', 'harness', 'best']"
Afpak,"['afpak', 'hybrid', 'relaxed', 'creative', 'focused', 'sleepy', 'happy', 'pine', 'spicy', 'herbal', 'earthy', 'afpak', 'named', 'direct', 'afghani', 'pakistani', 'landrace', 'heritage', 'beautiful', 'indica', 'dominant', 'hybrid', 'light', 'green', 'deep', 'bluish', 'purple', 'leaves', 'taste', 'aroma', 'floral', 'touch', 'lemon', 'inhale', 'light', 'smooth', 'stomach', 'activating', 'appetite', 'potent', 'relaxation', 'starts', 'head', 'face', 'gradually', 'sinks', 'body', 'enjoy', '-pron-', 'suffering', 'stress', 'mild', 'physical', 'discomfort', 'having', 'difficulty', 'eating']"
African,"['african', 'sativa', 'euphoric', 'energetic', 'aroused', 'tingly', 'creative', 'spicy', 'herbal', 'pungent', 'pepper', 'african', 'indigenous', 'varieties', 'cannabis', 'landraces', 'grow', 'natively', 'region', 'world', 'region', 'latitude', 'climate', 'native', 'landrace', 'sativa', 'structure']"
Afrikaner,"['afrikaner', 'sativa', 'afrikaner', 'cannabaal', 'master', 'grower', 'waldo', 'botha', 'pure', 'south', 'african', 'landrace', 'tall', 'high', 'levels', 'thcv', 'alongside', 'healthy', '20', 'thc', 'content', 'earthy', 'hemp', 'aroma', 'sweet', 'picante', 'weed', 'stench', 'says', 'producer', 'pure', 'sativa', 'afrikaner', 'energizes', 'body', 'euphoric', 'lust', 'life', 'keeping', 'mind', 'fairly', 'clear', 'utilize', 'proper', 'dosage', 'harness', 'physical', 'stimulation', 'mood', 'elevation', 'productive', 'means']"
Afternoon-Delight,"['afternoon', 'delight', 'hybrid', 'talkative', 'relaxed', 'uplifted', 'tingly', 'creative', 'pungent', 'citrus', 'tropical', 'afternoon', 'delight', 'created', 'colorado', 'inc', 'difficult', 'track', 'noted', 'small', 'dense', 'nuggets', 'aroma', 'pine', 'pungent', 'terpenes', 'afternoon', 'delight', 'described', 'indica', 'dominant', 'hybrid', 'hazy', 'aura', 'engulfs', 'mind', 'body', 'indulge', 'caution', 'hybrid', 'known', 'potency']"
Afwreck,"['afwreck', 'hybrid', 'euphoric', 'happy', 'uplifted', 'relaxed', 'sleepy', 'earthy', 'pine', 'pungent', 'afwreck', 'hybrid', 'cross', 'afghani', 'trainwreck', 'strong', 'sativa', 'immediate', 'head', 'concentrated', 'high']"
Agent-Orange,"['agent', 'orange', 'hybrid', 'happy', 'uplifted', 'relaxed', 'energetic', 'euphoric', 'citrus', 'orange', 'earthy', 'let', 'scare', 'herbicidal', 'warfare', 'agent', 'orange', 'wage', 'excellence', 'uplifting', 'balanced', 'hybrid', 'smooth', 'orange', 'velvet', 'bold', 'jack', 'ripper', 'agent', 'orange', 'capture', 'senses', 'wonderful', 'smells', 'oranges', 'fresh', 'cut', 'citrus', 'fruit', 'entice', 'immediately', 'pigments', 'deep', 'maroon', 'purple', 'stand', 'sea', 'green', 'uplifting', 'motivating', 'serving', 'great', 'mood', 'enhancer', 'feeling', 'lethargic', 'depressed']"
Agent-Tangie,"['agent', 'tangie', 'hybrid', 'uplifted', 'happy', 'creative', 'euphoric', 'focused', 'skunk', 'citrus', 'orange', 'craving', 'cerebral', 'buzz', 'citrus', 'kick', '3c', 'agent', 'tangie', 'perfect', 'glittery', 'colas', 'light', 'green', 'zesty', 'floral', 'linger', 'crown', 'skull', 'disperse', 'body', 'steady', 'waves', 'invigoration', 'assist', 'suffering', 'perpetual', 'procrastination', 'depression', 'fatigue']"
Air-Jordan-Og,"['air', 'jordan', 'og', 'indica', 'happy', 'relaxed', 'euphoric', 'sleepy', 'tingly', 'diesel', 'pine', 'spicy', 'herbal', 'air', 'jordan', 'og', 'grown', 'exclusively', 'good', 'gold', 'california', 'pure', 'indica', 'punch', 'let', 'fool', 'air', 'jordan', 'og', 'potent', 'sedating', 'melting', 'deep', 'couch', 'priming', 'nap', 'good', 'night', 'sleep', 'delivers', 'sleepy', 'relaxing', 'sharp', 'aromas', 'wood', 'fresh', 'pine']"
Als-Dream,"['als', 'dream', 'hybrid', 'talkative', 'energetic', 'al', 'dream', 'rapidly', 'colorado', 'cannabis', 'staple', 'cross', 'albert', 'walker', 'blue', 'dream', 'yields', 'unique', 'connoisseur', 'grade', 'flower', 'notes', 'celery', 'pungent', 'earth', 'opens', 'notes', 'citrus', 'combustion', 'offering', 'consumers', 'heady', 'euphoria', 'lends', 'creative', 'tasks', 'medicinal', 'benefits', 'curb', 'depression', 'nausea', 'stress', 'al', 'dream', 'known', 'mild', 'psychedelic', 'thc', 'content', 'passes', '20']"
Alaska,"['alaska', 'sativa', 'relaxed', 'sleepy', 'euphoric', 'focused', 'happy', 'earthy', 'woody', 'pine', 'alaska', 'developed', 'tikun', 'olam', 'israeli', 'comprised', '70', 'sativa', 'genetics', 'uplifting', 'intended', 'daytime', 'consumption', 'alaska', 'found', 'successfully', 'treat', 'array', 'medical', 'symptoms', 'inflammation', 'pain', 'nausea', 'insomnia', 'gastrointestinal', 'disorders']"
Alaska-Thunder-Grape,"['alaska', 'thunder', 'grape', 'hybrid', 'tingly', 'uplifted', 'creative', 'euphoric', 'focused', 'pepper', 'strawberry', 'grape', 'sonoma', 'county', 'comes', 'alaska', 'thunder', 'grape', 'hybrid', 'balances', 'genetics', 'matanuska', 'thunder', 'fuck', 'grape', 'ape', 'floral', 'lavender', 'hibiscus', 'alaska', 'thunder', 'grape', 'delivers', 'heavy', 'euphoric', 'promote', 'rest', 'relaxation']"
Alaskan-Ice,"['alaskan', 'ice', 'sativa', 'euphoric', 'uplifted', 'happy', 'relaxed', 'energetic', 'sweet', 'earthy', 'spicy', 'herbal', 'alaskan', 'ice', 'green', 'house', 'powerful', 'sativa', 'crosses', 'euphoric', 'white', 'widow', 'hybrid', 'energizing', 'buzz', 'haze', 'frostlike', 'resin', 'blankets', 'promise', 'soaring', 'psychoactivity', 'anchored', 'moderate', 'cbd', 'content', 'intensity', '70', 'sativa', 'recommended', 'evening', 'consumption', 'unproductive', 'weekends', 'alaskan', 'ice', 'slight', 'variant', 'moby', 'dick', 'poses', 'greater', 'challenge', 'growers', 'cultivators', 'expertise', 'raise', 'alaskan', 'ice', 'rewarded', 'highly', 'potent', 'harvest', 'sour', 'spicy', 'following', '9', 'flowering', 'period', 'high', 'resin', 'content', 'alaskan', 'ice', 'favorite', 'hash', 'producers', 'patients', 'severe', 'symptoms']"
Alaskan-Thunder-Fuck,"['alaskan', 'thunder', 'fuck', 'sativa', 'happy', 'euphoric', 'relaxed', 'uplifted', 'energetic', 'earthy', 'woody', 'pine', 'alaskan', 'thunder', 'fuck', 'referred', 'atf', 'matanuska', 'thunder', 'fuck', 'matanuska', 'tundra', 'legendary', 'sativa', 'dominant', 'originating', 'matanuska', 'valley', 'area', 'alaska', 'according', 'legend', 'originally', 'northern', 'california', 'sativa', 'crossed', 'russian', 'ruderalis', 'late', '70s', 'crossed', 'afghani', 'genetics', 'heartier', 'atf', 'usually', 'presents', 'large', 'beautifully', 'frosted', 'incredibly', 'strong', 'odors', 'pine', 'lemon', 'menthol', 'skunk', 'known', 'possessing', 'relaxing', 'intensely', 'euphoric', 'high', 'described', 'having', 'creeper', 'pronounced', 'appetite', 'enhancement']"
Albert-Walker,"['albert', 'walker', 'hybrid', 'relaxed', 'euphoric', 'happy', 'uplifted', 'hungry', 'earthy', 'mango', 'blueberry', 'albert', 'walker', 'indica', 'dominant', 'hybrid', 'unknown', 'origins', 'thought', 'descended', 'afghan', 'skunk', 'pacific', 'northwest', 'evidence', 'found', 'sour', 'lemon', 'skunky', 'heavy', 'body', 'hours', 'albert', 'walker', 'euphoric', 'relaxing', 'qualities', 'patients', 'treating', 'depression', 'anxiety', 'benefits', 'chronic', 'pain', 'appetite', 'loss', 'clone', 'come', 'challenge', 'growers', 'plants', 'require', 'frequent', 'attention', 'maintenance', 'high', 'yields', 'following', '8', 'flowering', 'cycle', 'considered', 'satisfactory', 'reward']"
Alchemy,"['alchemy', 'hybrid', 'relaxed', 'sleepy', 'uplifted', 'hungry', 'tingly', 'cheese', 'sweet', 'spicy', 'herbal', 'alchemy', '50/50', 'hybrid', 'cannabis', 'conjured', 'combining', 'chemdawg', 'querkle', 'creation', 'tga', 'genetics', 'comes', 'wreathed', 'purple', 'fan', 'leaves', 'lavender', 'tipped', 'aroma', 'sour', 'grapes', 'earthy', 'musk', 'alchemy', 'delivers', 'balance', 'relaxing', 'body', 'engaged', 'cerebral', 'invigoration', 'boasting', 'high', 'levels', 'thc', 'alchemy', 'sure', 'restore', 'mood', 'appetite']"
Alf,"['alf', 'hybrid', 'relaxed', 'creative', 'euphoric', 'giggly', 'happy', 'diesel', 'tropical', 'pungent', 'indica', 'dominant', 'hybrid', 'alf', 'created', 'crossing', 'animal', 'pie', 'animal', 'cookies', 'cherry', 'pie', 'hybrid', 'black', 'raven', 'white', 'fire', 'alien', 'og', 'x', '09', 'cookies', 'captain', 'connection', 'dessert', 'notes', 'cookies', 'sour', 'cherry', 'alf', 'aroma', 'enticing', 'purple', 'crystal', 'coated', 'patients', 'seeking', 'relief', 'pain', 'spasms', 'nausea', 'appetite', 'want', 'relaxing', 'hybrid', 'try']"
Alice-In-Wonderland,"['alice', 'wonderland', 'sativa', 'focused', 'euphoric', 'happy', 'uplifted', 'relaxed', 'pine', 'mint', 'sweet', 'alice', 'wonderland', 'sativa', 'euphoric', 'cerebral', 'provides', 'elevated', 'sensory', 'experience', 'favorite', 'creative', 'pastimes', 'outdoor', 'activities', 'laid', 'weekend', 'daytime', 'stress', 'relief', 'said', 'descendant', 'willy', 'wonder', 'alice', 'wonderland', 'therapeutic', 'qualities', 'suffering', 'anxiety', 'depression']"
Alien-Abduction,"['alien', 'abduction', 'hybrid', 'happy', 'relaxed', 'focused', 'uplifted', 'creative', 'earthy', 'nutty', 'sweet', 'alien', 'abduction', 'og', 'kush', 'hybrid', 'cal', 'medical', 'collective', 'ocean', 'grown', 'genetics', 'crossed', 'alien', 'og', 'male', 'ether', 'cut', 'alien', 'dawg', 'highly', 'sought', 'growers', 'known', 'great', 'germination', 'rates', 'multiple', 'excellent', 'phenotypes', 'robust', 'vigorous', 'plants', 'phenotypes', 'exhibit', 'typical', 'og', 'kush', 'smells', 'pack', 'high', 'thc', 'punch', 'potent', 'head', 'buzz', 'strongly', 'sedating', 'body', 'high', 'patients', 'alien', 'abduction', 'great', 'appetite', 'stimulant', 'sleep', 'aid']"
Alien-Apparition,"['alien', 'apparition', 'hybrid', 'hungry', 'energetic', 'euphoric', 'aroused', 'tingly', 'sweet', 'pungent', 'skunk', 'alien', 'apparition', 'cleverly', 'named', 'cross', 'franchise', 'genetics', 'spectral', 'anomaly', 'brought', 'material', 'sphere', 'help', 'ghost', 'natural', 'born', 'killer', 'hybrid', 'alien', 'technology', 'known', 'happy', 'relaxing', 'qualities', 'alien', 'apparition', 'og', 'kush', 'elements', 'ghost', 'og', 'alien', 'technology', 'euphoric', 'sedation', 'create', 'potent', 'hybrid', 'best', 'suited', 'afternoon', 'consumption', 'enjoy', 'enhance', 'mood', 'subdue', 'general', 'aches', 'pains']"
Alien-Asshat,"['alien', 'asshat', 'hybrid', 'euphoric', 'creative', 'giggly', 'relaxed', 'happy', 'pungent', 'citrus', 'earthy', 'alien', 'asshat', 'hybrid', 'cannabis', 'grown', 'sky', 'high', 'gardens', 'washington', 'staggeringly', 'high', 'thc', 'content', 'alien', 'asshat', 'launches', 'cosmos', 'powerful', 'euphoric', 'blast', 'tangle', 'green', 'calyxes', 'leaves', 'wrapped', 'constellation', 'shining', 'crystal', 'resin', '-pron-', 'new', 'cannabis', 'sure', 'small', 'heavy', 'hitter']"
Alien-Bubba,"['alien', 'bubba', 'indica', 'relaxed', 'sleepy', 'euphoric', 'happy', 'uplifted', 'earthy', 'woody', 'sweet', 'alien', 'bubba', 'intergalactic', 'cross', 'renowned', 'bubba', 'kush', 'heady', 'space', 'invader', 'alien', 'kush', 'fold', 'kush', 'blend', 'mellow', 'sedation', 'mental', 'aura', 'describe', 'introspective', 'meditative', 'bouquet', 'earthy', 'floral', 'combusted', 'alien', 'bubba', 'shows', 'pungent', 'tea', 'herbaceous', 'grassiness', 'smooth', 'exhale', 'enjoy', 'heady', 'heavy', 'hitter', 'close', 'end', 'day', 'maximize', 'sedative']"
Alien-Dawg,"['alien', 'dawg', 'indica', 'relaxed', 'sleepy', 'happy', 'euphoric', 'uplifted', 'earthy', 'pungent', 'woody', 'descending', 'northern', 'california', 'afghanistan', 'genetics', 'alien', 'dawg', 'cross', 'chemdawg', 'alien', 'technology', 'thc', 'content', '20', 'sour', 'pungent', 'odor', 'alien', 'dawg', 'light', 'bitter', 'taste', 'presents', 'brilliant', 'mind', 'body']"
Alien-Dutchess,"['alien', 'dutchess', 'sativa', 'euphoric', 'relaxed', 'uplifted', 'focused', 'happy', 'sweet', 'berry', 'blueberry', 'alien', 'dutchess', 'cresco', 'labs', 'brings', 'strong', 'euphoria', 'deep', 'relaxation', 'create', 'potent', 'refined', 'created', 'crossing', 'dutch', 'treat', 'haze', 'alien', 'og', 'exhibits', 'spicy', 'herbaceous', 'aroma', 'hints', 'pine', 'lemon', 'earthy', 'citrus', 'notes', 'shine', 'consumption', 'alien', 'dutchess', 'known', 'stimulate', 'appetite', 'help', 'abate', 'nausea', 'headaches', 'stress']"
Alien-Hallucination,"['alien', 'hallucination', 'hybrid', 'happy', 'relaxed', 'giggly', 'aroused', 'hungry', 'sweet', 'earthy', 'diesel', 'alien', 'hallucination', 'hybrid', 'cannabis', 'believed', 'cross', 'sedating', 'tahoe', 'alien', 'lsd', 'classic', 'amsterdam', 'hybrid', 'known', 'trippy', 'head', 'buzz', 'alien', 'genetics', 'abduct', 'mind', 'body', 'remains', 'anchored', 'deep', 'physical', 'relaxation']"
Alien-Inferno,"['alien', 'inferno', 'hybrid', 'happy', 'talkative', 'euphoric', 'uplifted', 'energetic', 'pine', 'diesel', 'earthy', 'white', 'fire', '6', 'alien', 'og', 'hybrid', 'crossing', 'diablo', 'livwell', 'created', 'alien', 'inferno', 'rock', 'solid', 'slathered', 'trichomes', 'red', 'pistils', 'alien', 'inferno', 'heavy', 'handed', 'og', 'hybrid', 'help', 'relieve', 'pain', 'boost', 'creativity', 'help', 'unwind', 'taste', 'earth', 'pine', 'lemon', 'potent', 'indica', 'dominant', 'hybrid', 'care', 'experienced', 'connoisseur']"
Alien-Kush,"['alien', 'kush', 'indica', 'relaxed', 'euphoric', 'happy', 'tingly', 'uplifted', 'earthy', 'woody', 'flowery', 'alien', 'kush', 'potent', 'cross', 'lvpk', 'alien', 'dawg', 'originally', 'hails', 'california', 'deep', 'space', 'feeling', 'little', 'spacey', 'indica', 'hybrid', 'touches', 'brain', 'giving', 'active', 'psychedelic', 'traditionally', 'sativa', 'active', 'buzz', 'settles', 'time', 'relaxing', 'body', 'buzz', 'dissolve', 'stress', 'pain', 'alien', 'kush', 'plants', 'average', 'yields', 'hardy', 'easy', 'grow', 'plants', 'indoors', 'light', 'green', 'covering', 'red', 'orange', 'hairs', 'airy', 'piney', 'taste', 'subtle', 'spiciness', 'reminiscent', 'tea']"
Alien-Og,"['alien', 'og', 'hybrid', 'relaxed', 'happy', 'euphoric', 'uplifted', 'creative', 'earthy', 'lemon', 'citrus', 'available', 'clone', 'california', 'bay', 'area', 'form', 'cali', 'connection', 'alien', 'og', 'cross', 'tahoe', 'og', 'alien', 'kush', 'potent', 'available', 'today', 'indica', 'dominant', 'hybrid', 'tested', 'high', '28', 'thc', 'alien', 'og', 'typical', 'lemon', 'pine', 'og', 'intense', 'high', 'heavy', 'indica', 'body', 'psychedelic', 'cerebral', 'buzz', 'beginners', 'novices', 'sure', 'slow', 'heavy', 'hitter']"
Alien-Reunion,"['alien', 'reunion', 'hybrid', 'euphoric', 'uplifted', 'happy', 'relaxed', 'talkative', 'pungent', 'skunk', 'cheese', 'alien', 'reunion', 'indica', 'dominant', 'cross', 'alien', 'og', 'alien', 'dawg', 'cannobi', 'genetics', 'dense', 'colas', 'emit', 'pungent', 'mix', 'include', 'sweet', 'fruity', 'tones', 'cherry', 'lemon', 'combined', 'skunky', 'diesel', 'note', 'relaxing', 'alien', 'reunion', 'calm', 'body', 'stimulating', 'mind', 'energetic', 'creative', 'rush', 'helps', 'stay', 'productive', 'feeling', 'sluggish']"
Alien-Rift,"['alien', 'rift', 'indica', 'relaxed', 'happy', 'euphoric', 'uplifted', 'hungry', 'grape', 'earthy', 'chemical', 'alien', 'rift', 'ocean', 'grown', 'thoroughly', 'enhanced', 'phenotype', 'alien', 'abduction', 'specifically', 'backcrossed', 'better', 'hash', 'production', 'tart', 'scent', 'lemon', 'spice', 'dense', 'trichomes', 'alien', 'rift', 'certain', 'senses', 'product', 'crossing', 'alien', 'abduction', 'alien', 'dawg', 'ether', 'cut', 'alien', 'og', 'extraterrestrial', 'activity', 'know', 'indica', 'world', 'use', 'alien', 'rift', 'laidback', 'curb', 'stress', 'moderate', 'physical', 'pain']"
Alien-Rock-Candy,"['alien', 'rock', 'candy', 'hybrid', 'relaxed', 'happy', 'euphoric', 'sleepy', 'tingly', 'sweet', 'citrus', 'earthy', 'alien', 'rock', 'candy', 'alien', 'genetics', 'indica', 'dominant', 'hybrid', 'aroma', 'sweet', 'suggests', 'sour', 'dubble', 'tahoe', 'alien', 'cross', 'captures', 'fruity', 'citrus', 'aroma', 'carries', 'exhale', 'relaxation', 'mind', 'body', 'ideal', 'end', 'active', 'stressful', 'day', 'heaviness', 'segueways', 'nicely', 'sleep', 'minutes', 'peak', 'alien', 'rock', 'candy', 'powerful', 'euphoric', 'punch', 'sets', 'good', 'choice', 'novice', 'expert', 'growers', 'alike', 'alien', 'rock', 'candy', 'finishes', '8', 'weeks', 'flowering', 'cycle']"
Alien-Sour-Apple,"['alien', 'sour', 'apple', 'hybrid', 'euphoric', 'relaxed', 'uplifted', 'creative', 'happy', 'sweet', 'lemon', 'apple', 'alien', 'sour', 'apple', 'sativa', 'dominant', 'hybrid', 'mixes', 'genetics', 'alien', 'dawg', 'sour', 'apple', 'franchise', 'genetics', 'alien', 'sour', 'apple', 'tastes', 'sweet', 'sour', 'granny', 'smith', 'apple', 'heady', 'sativa', 'provide', 'lift', 'energy', 'incite', 'optimistic', 'sense', 'euphoria']"
Alien-Stardawg,"['alien', 'stardawg', 'sativa', 'uplifted', 'happy', 'euphoric', 'creative', 'tingly', 'diesel', 'spicy', 'herbal', 'sage', 'alien', 'stardawg', 'sativa', 'dominant', 'hybrid', 'cross', 'alien', 'kush', 'stardawg', 'green', 'beanz', 'stretchy', 'plants', 'large', 'yields', 'frosty', 'green', 'red', 'blue', 'purple', 'colored', 'pleasing', 'cherry', 'hash', 'chem', 'fuel', 'potent', 'rounded', 'high']"
Alien-Technology,"['alien', 'technology', 'indica', 'happy', 'relaxed', 'uplifted', 'euphoric', 'focused', 'earthy', 'spicy', 'herbal', 'woody', 'little', 'known', 'alien', 'technology', 'landrace', 'selected', 'handful', 'acquired', 'breeder', 'obsoul33', 't', 'soldier', 'returning', 'afghanistan', 'pure', 'indica', 'features', 'light', 'green', 'incredible', 'trichome', 'production', 'spicy', 'hashy', 'aroma', 'fuel', 'undertones', 'reports', 'indicate', 'high', 'stimulating', 'typical', 'indica', 'lasting', 'long', '6', 'hours', 'alien', 'technology', 'breeding', 'today', 'potent', 'hybrids', 'alien', 'dawg', 'alien', 'kush']"
